driver_number,chain,num_days_worked,is_overnight
1,Mon[R1] → Tue[R6] → Wed[R3] → Thu[R7] → Fri[R1],5,False
2,Mon[R2] → Tue[R5] → Wed[R4] → Thu[R4] → Fri[R4],5,False
3,Mon[R3] → Tue[R4] → Wed[R5] → Thu[R6] → Fri[R2],5,False
4,Mon[R4] → Tue[R3] → Wed[R6] → Thu[R5] → Fri[R3],5,False
5,Mon[R5] → Tue[R2] → Wed[R7] → Thu[R2] → Fri[R7],5,False
6,Mon[R6] → Tue[R1] → Wed[R8] → Thu[R1] → Fri[R5],5,False
7,Tue[R7] → Wed[R2] → Thu[R3] → Fri[R6],4,False
8,Tue[R8] → Wed[R1] → Thu[R8],3,False
9,Tue[R9],1,False
10,Thu[R9],1,False
