ORDERID,TOZIP,DayOfWeek
89,1510,Fri
130,1570,Fri
200,1606,Fri
1,1801,Fri
37,1801,Fri
126,1801,Fri
25,2451,Fri
191,2451,Fri
174,2453,Fri
117,2466,Fri
26,2481,Fri
11,2493,Fri
32,2493,Fri
75,2493,Fri
100,2493,Fri
142,2493,Fri
165,2493,Fri
188,2493,Fri
212,2493,Fri
154,2766,Fri
233,2822,Fri
205,2840,Fri
62,2903,Fri
12,2914,Fri
27,2914,Fri
65,2917,Fri
67,6241,Fri
93,6340,Fri
160,6340,Fri
207,6340,Fri
237,6340,Fri
68,6349,Fri
196,1890,Mon
47,2111,Mon
73,2111,Mon
141,2111,Mon
185,2111,Mon
209,2111,Mon
42,2115,Mon
69,2115,Mon
91,2115,Mon
118,2115,Mon
158,2115,Mon
183,2115,Mon
236,2115,Mon
33,2116,Mon
51,2116,Mon
103,2116,Mon
122,2116,Mon
189,2116,Mon
245,2116,Mon
79,2120,Mon
169,2120,Mon
90,2132,Mon
131,2134,Mon
178,2135,Mon
260,2135,Mon
99,2138,Mon
187,2138,Mon
211,2138,Mon
242,2138,Mon
9,2139,Mon
97,2139,Mon
163,2139,Mon
186,2139,Mon
210,2139,Mon
31,2142,Mon
46,2142,Mon
71,2142,Mon
95,2142,Mon
239,2142,Mon
38,2155,Mon
173,2155,Mon
82,2199,Mon
77,2210,Mon
244,2210,Mon
10,2215,Mon
34,2215,Mon
124,2215,Mon
190,2215,Mon
215,2215,Mon
24,2370,Mon
221,2467,Mon
259,2747,Mon
20,1581,Thu
198,1581,Thu
228,1772,Thu
50,6033,Thu
102,6033,Thu
121,6033,Thu
167,6033,Thu
88,6040,Thu
155,6040,Thu
111,6050,Thu
204,6051,Thu
114,6084,Thu
106,6269,Thu
193,6269,Thu
217,6269,Thu
17,6320,Thu
49,6320,Thu
76,6320,Thu
101,6320,Thu
120,6320,Thu
143,6320,Thu
166,6320,Thu
243,6320,Thu
29,6340,Thu
44,6340,Thu
40,6415,Thu
134,6451,Thu
57,6457,Thu
109,6457,Thu
128,6457,Thu
150,6457,Thu
105,6484,Thu
61,6492,Thu
63,6510,Thu
261,6516,Thu
54,6517,Thu
250,6517,Thu
48,6524,Thu
74,6524,Thu
98,6524,Thu
119,6524,Thu
164,6524,Thu
241,6524,Thu
112,6615,Thu
226,6615,Thu
64,6824,Thu
85,6825,Thu
18,6830,Thu
137,6840,Thu
197,6851,Thu
60,6854,Thu
171,6854,Thu
256,6854,Thu
157,6870,Thu
87,6897,Thu
129,6901,Thu
257,6901,Thu
19,6902,Thu
153,6902,Thu
224,6902,Thu
156,6903,Thu
53,6927,Thu
107,6927,Thu
125,6927,Thu
147,6927,Thu
3,1843,Tue
4,1845,Tue
22,1845,Tue
5,1867,Tue
230,1867,Tue
6,1876,Tue
135,1876,Tue
7,1887,Tue
8,1910,Tue
252,1970,Tue
66,1984,Tue
202,2108,Tue
28,2110,Tue
43,2110,Tue
70,2110,Tue
92,2110,Tue
159,2110,Tue
184,2110,Tue
206,2110,Tue
72,2114,Tue
96,2114,Tue
140,2114,Tue
162,2114,Tue
208,2114,Tue
240,2114,Tue
23,2129,Tue
59,2129,Tue
255,2129,Tue
232,2188,Tue
139,2332,Tue
195,3054,Tue
56,3101,Tue
199,3103,Tue
136,3109,Tue
234,3820,Tue
132,3906,Tue
181,4047,Tue
84,4092,Tue
110,4101,Tue
151,4101,Tue
170,4101,Tue
222,4101,Tue
182,4276,Tue
231,1060,Wed
81,1101,Wed
203,1420,Wed
149,1701,Wed
219,1701,Wed
249,1701,Wed
176,1730,Wed
116,1752,Wed
201,1752,Wed
229,1752,Wed
2,1821,Wed
21,1821,Wed
78,1821,Wed
108,1821,Wed
251,1821,Wed
138,1854,Wed
113,1886,Wed
13,3431,Wed
225,3431,Wed
146,3755,Wed
194,3755,Wed
218,3755,Wed
86,3766,Wed
175,5401,Wed
258,5401,Wed
14,6032,Wed
52,6032,Wed
123,6032,Wed
213,6032,Wed
246,6032,Wed
41,6035,Wed
180,6043,Wed
115,6062,Wed
133,6082,Wed
179,6082,Wed
39,6091,Wed
15,6095,Wed
253,6095,Wed
55,6096,Wed
168,6096,Wed
220,6096,Wed
80,6102,Wed
36,6103,Wed
145,6103,Wed
192,6103,Wed
127,6105,Wed
148,6105,Wed
248,6105,Wed
177,6106,Wed
30,6108,Wed
45,6108,Wed
94,6108,Wed
161,6108,Wed
238,6108,Wed
235,6115,Wed
16,6156,Wed
35,6156,Wed
104,6156,Wed
216,6156,Wed
58,6183,Wed
152,6183,Wed
223,6183,Wed
254,6183,Wed
172,6810,Wed
144,6814,Wed
214,6814,Wed
247,6814,Wed
83,6877,Wed
227,6877,Wed
