label,weekly_miles,annual_miles,total_routes,min_drivers,peak_trucks,feasible_pct,weekly_cost,annual_cost,overnight_pairs,sensitivity,param_value,van_routes,st_routes,overnight_weekly_miles,overnight_annual_miles,overnight_total_routes
Baseline,7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,A1_volume_scaling,1.0,,,,,
+10% volume,8151,423852,32,7,7,96.9,29896.24,1554604.48,0.0,A1_volume_scaling,1.1,,,,,
+19% volume,8011,416572,33,7,7,93.9,29827.1,1551009.2,0.0,A1_volume_scaling,1.2,,,,,
+30% volume,8076,419952,34,8,8,91.2,30175.38,1569119.76,0.0,A1_volume_scaling,1.3,,,,,
Baseline (peak week),7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,A2_peak_week,1.0,,,,,
Wed+Thu +25%,7989,415428,33,8,8,93.9,29716.02,1545233.04,0.0,A2_peak_week,1.25,,,,,
Current (23%),8376,435552,39,10,9,,32383.45,1683939.4,,A3_st_mix_shift,0.22988505747126436,21.0,18.0,,,
30% ST-required,8908,463216,42,9,9,,34446.89,1791238.28,,A3_st_mix_shift,0.3,15.0,27.0,,,
50% ST-required,9438,490776,48,11,11,,37386.75,1944111.0,,A3_st_mix_shift,0.5,6.0,42.0,,,
Van cap 2400 ft³,8092,420784,34,8,8,91.2,30093.73,1564873.96,0.0,B4_van_capacity,2400.0,,,,,
Van cap 3200 ft³,7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,B4_van_capacity,3200.0,,,,,
Van cap 3600 ft³,7811,406172,30,7,7,100.0,28710.97,1492970.44,0.0,B4_van_capacity,3600.0,,,,,
ST cap 1000 ft³,8704,452608,45,13,11,,34385.72,1788057.44,,B5_st_capacity,1000.0,24.0,21.0,,,
ST cap 1400 ft³,8376,435552,39,10,9,,32383.45,1683939.4,,B5_st_capacity,1400.0,21.0,18.0,,,
ST cap 1800 ft³,8376,435552,39,10,9,,32383.45,1683939.4,,B5_st_capacity,1800.0,21.0,18.0,,,
32 mph,15507,806364,53,15,13,62.3,54171.63,2816924.76,0.0,B6_driving_speed,32.0,,,,,
40 mph,7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,B6_driving_speed,40.0,,,,,
48 mph,7119,370188,28,6,6,100.0,25379.21,1319718.92,0.0,B6_driving_speed,48.0,,,,,
−20% unload,7884,409968,32,7,7,100.0,29212.16,1519032.32,0.0,B7_unload_rate,0.8,,,,,
Baseline,7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,B7_unload_rate,1.0,,,,,
+20% unload,7901,410852,32,7,7,100.0,29400.59,1528830.68,0.0,B7_unload_rate,1.2,,,,,
No buffer,7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,C8_hos_buffer,0.0,,,,,
0.5h buffer,8037,417924,33,7,7,100.0,29752.61,1547135.72,0.0,C8_hos_buffer,0.5,,,,,
1h buffer,8790,457080,35,7,7,94.3,31556.97,1640962.44,0.0,C8_hos_buffer,1.0,,,,,
08:00-18:00 (baseline),7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,C9_delivery_window,10.0,,,,,
06:00-20:00,7838,407576,29,6,6,100.0,28838.01,1499576.52,0.0,C9_delivery_window,14.0,,,,,
24-hour warehouse,7838,407576,29,6,6,100.0,28838.01,1499576.52,0.0,C9_delivery_window,24.0,,,,,
No overnight,7904,411008,32,7,7,100.0,29320.28,1524654.56,0.0,C10_overnight_toggle,0.0,,,,,
Overnight allowed,7780,404560,32,7,7,100.0,29320.28,1524654.56,6.0,C10_overnight_toggle,1.0,,,7780.0,404560.0,26.0
